hg19.kgXref.geneSymbol	hg19.knownGene.chrom	hg19.knownGene.chrom.num	hg19.knownGene.strand	hg19.knownGene.dir	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownGene.cdsStart	hg19.knownGene.cdsEnd	hg19.knownGene.exonCount	hg19.knownGene.exonStarts	hg19.knownGene.exonEnds	hg19.knownGene.proteinID	hg19.knownGene.alignID
ELF2	chr4	4	-	0	139978870	140005568	139980136	140005344	7	"139978870,139981477,139983018,139988837,139993019,139994607,140005286,"	"139980761,139981828,139983211,139988924,139993157,139994721,140005568,"	B7Z720	uc003ihn.2
ELF2	chr4	4	-	0	139978870	140005568	139980136	140005344	6	"139978870,139981477,139983018,139993019,139994607,140005286,"	"139980761,139981828,139983211,139993157,139994721,140005568,"	NP_001263388	uc031shb.1
ELF2	chr4	4	-	0	139978870	140005568	139980136	140005344	7	"139978870,139981477,139983018,139988837,139993019,139994607,140005286,"	"139980761,139981828,139983211,139988924,139993193,139994721,140005568,"	Q15723-3	uc003ihm.2
ELF2	chr4	4	-	0	139978870	140060651	139980136	140058855	9	"139978870,139981477,139983018,139988837,139993019,139994607,140046317,140058783,140060566,"	"139980761,139981828,139983211,139988924,139993157,139994721,140046483,140059021,140060651,"	Q15723-1	uc003ihp.1
ELF3	chr1	1	+	1	201977072	201986315	201980264	201984451	8	"201977072,201981084,201981471,201981767,201982074,201982309,201982956,201984336,"	"201980427,201981306,201981564,201981887,201982164,201982426,201983152,201986315,"	P78545	uc001gxg.4
ELF3	chr1	1	+	1	201979689	201986315	201980264	201984451	9	"201979689,201980256,201981084,201981471,201981767,201982074,201982309,201982956,201984336,"	"201979948,201980427,201981306,201981564,201981887,201982164,201982426,201983152,201986315,"	P78545	uc001gxi.4
ELF3	chr1	1	+	1	201979689	201986315	201980264	201984451	9	"201979689,201980256,201981084,201981471,201981767,201982074,201982309,201982956,201984336,"	"201979834,201980427,201981306,201981564,201981887,201982164,201982426,201983152,201986315,"	P78545	uc001gxh.4
ELF4	chrX	23	-	0	129198894	129244688	129200695	129215304	9	"129198894,129203274,129205014,129205310,129206200,129208023,129208555,129215229,129244594,"	"129201500,129203652,129205207,129205394,129206392,129208116,129208727,129215513,129244688,"	Q99607	uc004eve.4
ELF4	chrX	23	-	0	129198894	129244475	129200695	129215304	9	"129198894,129203274,129205014,129205310,129206200,129208023,129208555,129215229,129244299,"	"129201500,129203652,129205207,129205394,129206392,129208116,129208727,129215513,129244475,"	Q99607	uc004evd.4
ELF5	chr11	11	-	0	34513143	34535347	34514963	34527296	3	"34513143,34527175,34535223,"	"34515259,34527300,34535347,"	Q9UKW6-3	uc001mvq.2
ELF5	chr11	11	-	0	34500341	34535347	34501764	34527296	5	"34500341,34502318,34503977,34527175,34535223,"	"34501861,34502514,34504046,34527300,34535347,"	A6XAE6	uc009ykd.2
ELF5	chr11	11	-	0	34500341	34533346	34501764	34533116	6	"34500341,34502318,34503977,34511555,34527175,34533090,"	"34501861,34502514,34504046,34511606,34527300,34533346,"	NP_001230010	uc021qft.1
ELF5	chr11	11	-	0	34500341	34535347	34501764	34527296	7	"34500341,34502318,34503977,34511555,34515025,34527175,34535223,"	"34501861,34502514,34504046,34511606,34515259,34527300,34535347,"	NP_001413	uc001mvp.2
ELF5	chr11	11	-	0	34500341	34533346	34501764	34533116	7	"34500341,34502318,34503977,34511555,34515025,34527175,34533090,"	"34501861,34502514,34504046,34511606,34515259,34527300,34533346,"	Q9UKW6	uc001mvo.1
ELK1	chrX	23	-	0	47494918	47510003	47496227	47498617	5	"47494918,47496411,47497149,47498293,47509821,"	"47496326,47496513,47497581,47500874,47510003,"	P19419	uc010nhw.4
ELK1	chrX	23	-	0	47494918	47510003	47496227	47500840	7	"47494918,47496411,47497149,47498293,47500630,47509319,47509821,"	"47496326,47496513,47497581,47498737,47500874,47509425,47510003,"	P19419	uc004dik.5
ELK1	chrX	23	-	0	47494918	47510003	47496433	47500840	6	"47494918,47496411,47498677,47500630,47509319,47509821,"	"47496326,47496451,47498737,47500874,47509425,47510003,"	P19419-2	uc004dil.5
ELK1	chrX	23	-	0	47494918	47510003	47496227	47500840	6	"47494918,47496411,47497149,47498293,47500630,47509821,"	"47496326,47496513,47497581,47498737,47500874,47510003,"	P19419	uc010nhv.4
ELK3	chr12	12	+	1	96588206	96661606	96617344	96660958	5	"96588206,96617342,96640717,96653508,96660859,"	"96588483,96617551,96641512,96653631,96661606,"	P41970	uc001teo.1
ELK4	chr1	1	-	0	205566694	205602000	205566694	205566694	10	"205566694,205567582,205568952,205569778,205572328,205585605,205588084,205589093,205592803,205600759,"	"205566990,205567777,205569053,205569922,205572481,205585772,205588201,205589966,205593019,205602000,"		uc021pid.1
ELK4	chr1	1	-	0	205592803	205649630	205592803	205592803	2	"205592803,205649521,"	"205593019,205649630,"		uc010prq.1
ELK4	chr1	1	-	0	205577070	205602000	205585673	205593010	5	"205577070,205588084,205589093,205592803,205600759,"	"205585772,205588201,205589966,205593019,205602000,"	P28324	uc001hcy.2
ELK4	chr1	1	-	0	205588395	205602000	205588955	205593010	3	"205588395,205592803,205600759,"	"205589966,205593019,205602000,"	P28324-2	uc001hcz.3
EMX1	chr2	2	+	1	73144603	73162020	73144981	73161083	3	"73144603,73151437,73160915,"	"73145501,73151622,73162020,"	NP_004088	uc002sin.1
EMX2	chr10	10	+	1	119301955	119309057	119302778	119307679	2	"119301955,119307575,"	"119303184,119309057,"	G3V305	uc001ldi.4
EMX2	chr10	10	+	1	119301955	119309057	119302778	119307743	3	"119301955,119305142,119307575,"	"119303184,119305327,119309057,"	Q04743	uc001ldh.4
EN1	chr2	2	-	0	119599746	119605759	119600513	119604743	2	"119599746,119603881,"	"119600830,119605759,"	Q05925	uc002tlm.3
EN2	chr7	7	+	1	155250823	155257526	155251072	155255382	2	"155250823,155255065,"	"155251757,155257526,"	P19622	uc003wmb.3
EOMES	chr3	3	-	0	27757439	27764206	27760126	27763785	5	"27757439,27760077,27760850,27761661,27762904,"	"27759299,27760384,27760972,27761816,27764206,"	O95936	uc010hfn.3
EOMES	chr3	3	-	0	27757439	27764206	27758560	27763785	6	"27757439,27760077,27760225,27760850,27761661,27762904,"	"27759299,27760139,27760384,27760972,27761816,27764206,"	G3XAI5	uc003cdy.4
EOMES	chr3	3	-	0	27757439	27764206	27758560	27761812	6	"27757439,27760077,27760225,27760850,27761661,27763920,"	"27759299,27760139,27760384,27760972,27761816,27764206,"	B7ZA51	uc011axc.2
EOMES	chr3	3	-	0	27757439	27764206	27758560	27763785	6	"27757439,27760077,27760225,27760850,27761661,27762904,"	"27759242,27760139,27760384,27760972,27761816,27764206,"	O95936	uc003cdx.4
ERF	chr19	19	-	0	42751716	42754880	42752616	42753456	2	"42751716,42753978,"	"42753890,42754880,"	P50548	uc002otd.4
ERF	chr19	19	-	0	42751716	42759309	42752616	42759151	4	"42751716,42753978,42754482,42759129,"	"42753890,42754094,42754717,42759309,"	P50548	uc002ote.4
ERG	chr21	21	-	0	39763871	39870428	39764238	39870304	4	"39763871,39795331,39817326,39870286,"	"39764366,39795483,39817544,39870428,"	B4E3C5	uc011aem.1
ERG	chr21	21	-	0	39842699	40033704	39842699	39842699	5	"39842699,39845949,39947585,39956767,40033581,"	"39844003,39846044,39947671,39956869,40033704,"		uc010gnz.3
ERG	chr21	21	-	0	39771994	40033704	39772283	39947624	8	"39771994,39774478,39775427,39795331,39817326,39947585,39956767,40033581,"	"39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033704,"	P11308-6	uc002yxc.4
ERG	chr21	21	-	0	39751949	40032591	39755324	39947624	11	"39751949,39762916,39763580,39764297,39774478,39775427,39795331,39817326,39947585,39956767,40032445,"	"39755845,39762964,39763637,39764366,39774559,39775631,39795483,39817544,39947671,39956869,40032591,"	P11308-1	uc010gnx.3
ERG	chr21	21	-	0	39751949	40033704	39755324	39947624	12	"39751949,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40033581,"	"39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033704,"	P11308	uc011ael.2
ERG	chr21	21	-	0	39751949	39870428	39755324	39795443	9	"39751949,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39870286,"	"39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39870428,"	NP_001129627	uc011aek.2
ERG	chr21	21	-	0	39751949	40032591	39755324	39947624	12	"39751949,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40032445,"	"39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40032591,"	P11308	uc010gnw.3
ERG	chr21	21	-	0	39751949	39956869	39755324	39795443	9	"39751949,39762916,39763580,39764297,39774478,39775427,39795331,39947585,39956767,"	"39755845,39762964,39763637,39764366,39774559,39775631,39795483,39947671,39956869,"	NP_001230358	uc010gnv.3
ERG	chr21	21	-	0	39739182	40033704	39739556	39947624	12	"39739182,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40033581,"	"39739570,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033704,"	P11308-5	uc021wjd.1
ERG	chr21	21	-	0	39751949	40033704	39755324	39947624	11	"39751949,39762916,39763580,39764297,39774478,39775427,39795331,39817326,39947585,39956767,40033581,"	"39755845,39762964,39763637,39764366,39774559,39775631,39795483,39817544,39947671,39956869,40033704,"	P11308-1	uc002yxb.3
ERG	chr21	21	-	0	39751949	39870428	39755324	39870304	10	"39751949,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39870286,"	"39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39870428,"	P11308-4	uc002yxa.3
ERG	chr21	21	-	0	39764297	39775631	39764297	39764297	2	"39764297,39775427,"	"39764366,39775631,"		uc010gny.1
ESR1	chr6	6	+	1	152011630	152163922	152129047	152163921	5	"152011630,152023009,152078614,152128977,152163731,"	"152011799,152023140,152078728,152129499,152163922,"	Q14268	uc021zgx.1
ESR1	chr6	6	+	1	152011630	152163922	152011630	152011630	4	"152011630,152023009,152078614,152163731,"	"152011799,152023140,152078728,152163922,"		uc021zgy.1
ESR1	chr6	6	+	1	151977829	152163922	152129047	152163921	3	"151977829,152128977,152163731,"	"151977898,152129499,152163922,"	Q14268	uc031sqc.1
ESR1	chr6	6	+	1	151977829	152163922	152129047	152163921	4	"151977829,152023009,152128977,152163731,"	"151977898,152023140,152129499,152163922,"	Q14268	uc031sqb.1
ESR1	chr6	6	+	1	151977829	152129499	152129047	152129497	4	"151977829,151982834,152023009,152128977,"	"151977898,151982902,152023140,152129499,"	Q9H2M2	uc031spz.1
ESR1	chr6	6	+	1	151977829	152163922	152129047	152163921	5	"151977829,151987524,152023009,152128977,152163731,"	"151977898,151987583,152023140,152129499,152163922,"	Q14268	uc031sqa.1
ESR1	chr6	6	+	1	151977829	152163922	151977829	151977829	2	"151977829,152163731,"	"151977898,152163922,"		uc031sqf.1
ESR1	chr6	6	+	1	151977829	152163922	151977829	151977829	3	"151977829,152023009,152163731,"	"151977898,152023140,152163922,"		uc031sqe.1
ESR1	chr6	6	+	1	151977829	152163922	151977829	151977829	4	"151977829,151987524,152023009,152163731,"	"151977898,151987583,152023140,152163922,"		uc031sqd.1
ESR1	chr6	6	+	1	152265307	152382259	152265336	152382145	2	"152265307,152382125,"	"152265643,152382259,"	Q9Y2W8	uc010kit.1
ESR1	chr6	6	+	1	152128813	152424408	152201877	152420101	5	"152128813,152201789,152382125,152415519,152419866,"	"152129499,152201906,152382259,152415703,152424408,"	Q9H2M1	uc010kiq.3
ESR1	chr6	6	+	1	152128813	152424408	152129047	152420101	4	"152128813,152382125,152415519,152419866,"	"152129499,152382259,152415703,152424408,"	Q9H2M1	uc010kir.3
ESR1	chr6	6	+	1	152126807	152424408	152129047	152420101	9	"152126807,152128977,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152126955,152129499,152163922,152201903,152265643,152332929,152382259,152415703,152424408,"	A8KAF4	uc010kip.3
ESR1	chr6	6	+	1	152265307	152424408	152265336	152419898	4	"152265307,152332790,152382125,152419866,"	"152265643,152332929,152382259,152424408,"	F6SD09	uc011eey.2
ESR1	chr6	6	+	1	152126807	152424408	152129047	152420101	9	"152126807,152128977,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152126955,152129499,152163928,152201906,152265643,152332929,152382259,152415703,152424408,"	P03372	uc010kio.3
ESR1	chr6	6	+	1	152163731	152424408	152163798	152420101	3	"152163731,152415519,152419866,"	"152163922,152415703,152424408,"	B5LY05	uc011eev.2
ESR1	chr6	6	+	1	152163731	152424408	152163731	152163731	4	"152163731,152201789,152382125,152419866,"	"152163922,152201906,152382259,152424408,"		uc011eeu.2
ESR1	chr6	6	+	1	152163731	152424408	152163731	152163731	4	"152163731,152201789,152415668,152419866,"	"152163922,152201823,152415703,152424408,"		uc011eet.2
ESR1	chr6	6	+	1	152201789	152424408	152201803	152420101	4	"152201789,152265307,152332790,152419866,"	"152201906,152265643,152332929,152424408,"	C0LLI8	uc011eex.2
ESR1	chr6	6	+	1	152163731	152424408	152163784	152419869	4	"152163731,152201789,152415630,152419866,"	"152163922,152201860,152415703,152424408,"		uc011eew.2
ESR1	chr6	6	+	1	152163858	152424408	152163868	152420101	3	"152163858,152415566,152419866,"	"152163913,152415703,152424408,"	B5LY05	uc021zha.1
ESR1	chr6	6	+	1	152163731	152420056	152163731	152163731	3	"152163731,152201789,152420010,"	"152163922,152201812,152420056,"		uc021zgz.1
ESR1	chr6	6	+	1	152163731	152424408	152163798	152417823	7	"152163731,152201789,152332790,152382125,152415519,152417792,152419866,"	"152163922,152201906,152332929,152382259,152415703,152417841,152424408,"	C8CJL6	uc010kis.3
ESR1	chr6	6	+	1	152128813	152424408	152129047	152420101	8	"152128813,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152129499,152163922,152201906,152265643,152332929,152382259,152415703,152424408,"	P03372	uc003qoo.4
ESR1	chr6	6	+	1	152128453	152424408	152129047	152420101	9	"152128453,152128977,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152128644,152129499,152163922,152201906,152265643,152332929,152382259,152415703,152424408,"	P03372	uc003qon.4
ESR1	chr6	6	+	1	152126807	152424408	152129047	152420101	9	"152126807,152128977,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152126955,152129499,152163922,152201906,152265643,152332929,152382259,152415703,152424408,"	P03372	uc010kin.3
ESR1	chr6	6	+	1	152011630	152424408	152129047	152420101	10	"152011630,152023009,152128977,152163731,152201789,152265307,152332790,152382125,152415519,152419866,"	"152011799,152023140,152129499,152163922,152201906,152265643,152332929,152382259,152415703,152424408,"	P03372	uc003qom.4
ESR2	chr14	14	-	0	64693750	64805268	64694250	64749703	14	"64693750,64701687,64716263,64723943,64727166,64735512,64746698,64749341,64764250,64765108,64768085,64770193,64803130,64804615,"	"64694332,64701868,64716397,64724082,64727466,64735629,64746871,64749793,64764436,64765202,64768298,64770377,64803438,64805268,"	F1D8N3	uc001xgx.3
ESR2	chr14	14	-	0	64701687	64727466	64701687	64701687	3	"64701687,64723943,64727166,"	"64701868,64724082,64727466,"		uc010aqd.1
ESR2	chr14	14	-	0	64693750	64761128	64694250	64749703	9	"64693750,64701687,64716263,64723943,64727166,64735512,64746698,64749341,64760750,"	"64694332,64701868,64716397,64724082,64727466,64735629,64746871,64749793,64761128,"	F1D8N3	uc001xgu.3
ESR2	chr14	14	-	0	64693750	64749793	64694607	64749703	8	"64693750,64701687,64716263,64723943,64727166,64735512,64746698,64749341,"	"64694647,64701868,64716397,64724082,64727466,64735629,64746871,64749793,"	Q92731-5	uc001xgy.2
ESR2	chr14	14	-	0	64701604	64749793	64701674	64749703	7	"64701604,64716263,64723943,64727166,64735512,64746698,64749341,"	"64701868,64716397,64724082,64727466,64735629,64746871,64749793,"	Q92731-6	uc001xgz.2
ESR2	chr14	14	-	0	64694535	64749793	64694744	64749703	8	"64694535,64701687,64716263,64723943,64727166,64735512,64746698,64749341,"	"64694763,64701868,64716397,64724082,64727466,64735629,64746871,64749793,"	G3V5M5	uc031qoy.1
ESR2	chr14	14	-	0	64699746	64749793	64699854	64749703	6	"64699746,64701687,64727166,64735512,64746698,64749341,"	"64700041,64701868,64727466,64735629,64746871,64749793,"	Q92731-7	uc010aqc.1
ESR2	chr14	14	-	0	64699746	64761128	64699854	64749703	9	"64699746,64701687,64716263,64723943,64727166,64735512,64746698,64749341,64760750,"	"64700041,64701868,64716397,64724082,64727466,64735629,64746871,64749793,64761128,"	Q92731	uc001xha.1
ESR2	chr14	14	-	0	64693750	64805268	64693750	64693750	8	"64693750,64701687,64716263,64727166,64735512,64746698,64749341,64804615,"	"64694332,64701868,64716397,64727466,64735629,64746871,64749793,64805268,"		uc001xgw.3
ESR2	chr14	14	-	0	64699746	64749793	64699746	64699746	7	"64699746,64701687,64716263,64723943,64727166,64735512,64749341,"	"64700041,64701868,64716397,64724133,64727466,64735629,64749793,"		uc010aqb.1
ESR2	chr14	14	-	0	64693750	64805268	64694250	64749703	9	"64693750,64701687,64716263,64723943,64727166,64735512,64746698,64749341,64804615,"	"64694332,64701868,64716397,64724082,64727466,64735629,64746871,64749793,64805268,"	F1D8N3	uc001xgv.3
ESRRA	chr11	11	+	1	64081710	64082742	64081710	64081710	2	"64081710,64082472,"	"64081839,64082742,"		uc009ypn.1
ESRRA	chr11	11	+	1	64083269	64084212	64083269	64083269	1	"64083269,"	"64084212,"		uc021qku.1
ESRRA	chr11	11	+	1	64073698	64084210	64074651	64083438	7	"64073698,64074639,64081422,64081710,64082212,64082472,64083178,"	"64073920,64074976,64081539,64081839,64082383,64082742,64084210,"	P11474	uc001nzs.1
ESRRA	chr11	11	+	1	64073043	64084210	64074651	64083438	7	"64073043,64074639,64081422,64081710,64082215,64082472,64083178,"	"64073208,64074976,64081539,64081839,64082383,64082742,64084210,"	P11474-2	uc001nzr.1
ESRRA	chr11	11	+	1	64073043	64084210	64074651	64083438	7	"64073043,64074639,64081422,64081710,64082212,64082472,64083178,"	"64073208,64074976,64081539,64081839,64082383,64082742,64084210,"	P11474	uc001nzq.1
ESRRB	chr14	14	+	1	76837689	76968180	76837689	76837689	12	"76837689,76870738,76873885,76905683,76928887,76948358,76948940,76957789,76964556,76965068,76966205,76967037,"	"76837929,76870802,76873939,76906093,76929004,76948469,76949102,76958059,76964795,76965255,76966409,76968180,"		uc001xso.3
ESRRB	chr14	14	+	1	76873885	76964854	76905696	76964801	7	"76873885,76905683,76928887,76948358,76948940,76957789,76964556,"	"76873939,76906093,76929004,76948469,76949102,76958059,76964854,"	O95718	uc001xsq.1
ESRRB	chr14	14	+	1	76837689	76968180	76905696	76967064	11	"76837689,76870738,76873885,76905683,76928887,76948358,76948940,76957789,76964556,76966205,76967037,"	"76837929,76870802,76873939,76906093,76929004,76948469,76949102,76958059,76964795,76966409,76968180,"	O95718	uc001xsr.3
ESX1	chrX	23	-	0	103494718	103499599	103494908	103499530	4	"103494718,103497463,103498834,103499448,"	"103495577,103497509,103499258,103499599,"	Q8N693	uc004ely.3
ETS1	chr11	11	-	0	128328655	128392205	128332433	128391889	7	"128328655,128350295,128354717,128355963,128359184,128360351,128391807,"	"128332471,128350346,128354966,128356041,128359385,128360471,128392205,"	Q96AC5	uc009zcg.2
ETS1	chr11	11	-	0	128328655	128457453	128332255	128443025	10	"128328655,128333403,128350085,128354717,128355963,128359184,128360351,128426185,128442956,128457382,"	"128332471,128333522,128350346,128354966,128356041,128359385,128360471,128426330,128443039,128457453,"	P14921-3	uc001qej.2
ETS1	chr11	11	-	0	128328655	128392205	128332255	128391889	4	"128328655,128333403,128350085,128391807,"	"128332471,128333522,128350346,128392205,"	F5GYX9	uc009zch.2
ETS1	chr11	11	-	0	128328655	128392205	128332255	128391889	8	"128328655,128333403,128350085,128354717,128355963,128359184,128360351,128391807,"	"128332471,128333522,128350346,128354966,128356041,128359385,128360471,128392205,"	P14921	uc010sbs.1
ETS2	chr21	21	+	1	40177230	40196878	40177270	40194813	11	"40177230,40177894,40181958,40184926,40186196,40186704,40188931,40190348,40191426,40193509,40194597,"	"40177540,40178044,40182030,40185038,40186316,40186905,40189015,40190570,40191690,40193628,40196878,"	NP_001243224	uc002yxf.3
ETS2	chr21	21	+	1	40177754	40196878	40181958	40194813	10	"40177754,40181958,40184926,40186196,40186704,40188931,40190348,40191426,40193509,40194597,"	"40178044,40182030,40185038,40186316,40186905,40189015,40190570,40191690,40193628,40196878,"	P15036	uc002yxg.4
ETV1	chr7	7	-	0	13945822	14025145	13946137	13975493	8	"13945822,13949256,13950864,13971126,13975332,13978741,14017051,14024979,"	"13946224,13949325,13950932,13971374,13975521,13978871,14017105,14025145,"	C9JX69	uc010ktv.3
ETV1	chr7	7	-	0	13930855	14030327	13930855	13930855	15	"13930855,13940362,13946054,13947417,13949256,13950864,13971126,13975332,13978741,14017051,14026262,14027710,14028632,14028892,14030177,"	"13935712,13940464,13946224,13947481,13949325,13950932,13971374,13975521,13978871,14017105,14026310,14027798,14028764,14029089,14030327,"		uc003ssx.3
ETV1	chr7	7	-	0	13930855	14026139	13935490	14025801	9	"13930855,13940362,13946054,13949256,13950863,13971126,13975332,13978741,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14026139,"	F5GXR2	uc021zzv.1
ETV1	chr7	7	-	0	13930855	14026139	13935490	14025801	9	"13930855,13940362,13946054,13949256,13950863,13971126,13978741,14017051,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13978871,14017105,14026139,"	P50549-4	uc021zzu.1
ETV1	chr7	7	-	0	13930855	14026139	13935490	14025801	10	"13930855,13940362,13946054,13949256,13950863,13971126,13975332,13978741,14017051,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14017105,14026139,"	E9PHB1	uc021zzt.1
ETV1	chr7	7	-	0	13930855	14028764	13935490	14028677	11	"13930855,13940362,13946054,13949256,13950863,13971126,13975332,13978741,14026262,14027710,14028632,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14026310,14027798,14028764,"	P50549-2	uc022aaa.1
ETV1	chr7	7	-	0	13930855	14028764	13935490	14028677	12	"13930855,13940362,13946054,13949256,13950863,13971126,13975332,13978741,14017051,14026262,14027710,14028632,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14017105,14026310,14027798,14028764,"	P50549	uc021zzz.1
ETV1	chr7	7	-	0	13930855	14029642	13935490	14028677	12	"13930855,13940362,13946054,13949256,13971126,13975332,13978741,14017051,14026262,14027710,14028632,14029187,"	"13935712,13940464,13946224,13949325,13971374,13975521,13978871,14017105,14026310,14027798,14028764,14029642,"	P50549-3	uc003ssw.4
ETV1	chr7	7	-	0	13930855	14031050	13946137	14028677	13	"13930855,13940362,13946054,13949256,13950864,13971126,13975332,13978741,14026262,14027710,14028632,14030177,14030952,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14026310,14027798,14028764,14030327,14031050,"	P50549-2	uc022aad.1
ETV1	chr7	7	-	0	13930855	14030865	13946137	14028677	12	"13930855,13940362,13946054,13949256,13950864,13971126,13975332,13978741,14026262,14027710,14028632,14030746,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14026310,14027798,14028764,14030865,"	P50549-2	uc022aac.1
ETV1	chr7	7	-	0	13930855	14026139	13946137	14025801	10	"13930855,13940362,13946054,13949256,13950864,13971126,13975332,13978741,14017051,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14017105,14026139,"	E9PHB1	uc021zzw.1
ETV1	chr7	7	-	0	13930855	14026139	13946137	14025801	9	"13930855,13940362,13946054,13949256,13950864,13971126,13975332,13978741,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14026139,"	F5GXR2	uc021zzy.1
ETV1	chr7	7	-	0	13930855	14026139	13946137	14025801	9	"13930855,13940362,13946054,13949256,13950864,13971126,13978741,14017051,14025740,"	"13935712,13940464,13946224,13949325,13950932,13971374,13978871,14017105,14026139,"	P50549-4	uc021zzx.1
ETV1	chr7	7	-	0	13930855	14029642	13946137	14028677	14	"13930855,13940362,13946054,13949256,13950864,13971126,13975332,13978741,14017051,14026262,14027710,14028632,14028892,14029187,"	"13935712,13940464,13946224,13949325,13950932,13971374,13975521,13978871,14017105,14026310,14027798,14028764,14029089,14029642,"	P50549	uc022aab.1
ETV2	chr19	19	+	1	36132646	36135773	36133362	36135754	6	"36132646,36133335,36133866,36134175,36135136,36135553,"	"36133058,36133600,36133947,36134655,36135249,36135773,"	A6NFN5	uc002oas.2
ETV2	chr19	19	+	1	36132646	36135773	36134219	36135754	6	"36132646,36133516,36133866,36134175,36135136,36135553,"	"36133058,36133600,36133947,36134655,36135249,36135773,"	O00321	uc002oat.2
ETV2	chr19	19	+	1	36132646	36135773	36133362	36135754	5	"36132646,36133335,36133516,36135136,36135553,"	"36133058,36133432,36133600,36135249,36135773,"	Q3KNT2	uc002oau.2
ETV2	chr19	19	+	1	36132646	36135773	36133362	36135754	7	"36132646,36133335,36133516,36133866,36134175,36135136,36135553,"	"36133058,36133432,36133600,36133947,36134655,36135249,36135773,"	O00321	uc002oar.2
ETV3	chr1	1	-	0	157094458	157108383	157094632	157106144	5	"157094458,157103903,157105262,157106098,157108107,"	"157095771,157104019,157105500,157106157,157108383,"	P41162	uc001fqr.2
ETV3	chr1	1	-	0	157102975	157108383	157103871	157106144	4	"157102975,157105262,157106098,157108107,"	"157104019,157105500,157106157,157108383,"	P41162-2	uc001fqt.3
ETV4	chr17	17	-	0	41605210	41623081	41605886	41622985	11	"41605210,41606502,41606871,41607251,41607474,41610041,41611226,41613793,41622342,41622641,41622925,"	"41606111,41606604,41607044,41607320,41607549,41610307,41611353,41613847,41622390,41622735,41623081,"	B7Z5F4	uc010wih.2
ETV4	chr17	17	-	0	41605210	41623305	41605886	41622985	13	"41605210,41606502,41606871,41607251,41607474,41610041,41610554,41611226,41613793,41622342,41622641,41622925,41623228,"	"41606111,41606604,41607044,41607320,41607549,41610307,41610716,41611350,41613847,41622390,41622735,41623036,41623305,"	P43268	uc010czh.3
ETV4	chr17	17	-	0	41610554	41622754	41610556	41622678	5	"41610554,41611226,41613793,41622342,41622641,"	"41610716,41611353,41613847,41622390,41622754,"	NP_001248367	uc002idy.1
ETV4	chr17	17	-	0	41605210	41623800	41605886	41622985	13	"41605210,41606502,41606871,41607251,41607474,41610041,41610554,41611226,41613793,41622342,41622641,41622925,41623552,"	"41606111,41606604,41607044,41607320,41607549,41610307,41610716,41611353,41613847,41622390,41622735,41623036,41623800,"	P43268	uc002idx.4
ETV4	chr17	17	-	0	41605210	41623800	41605886	41622678	12	"41605210,41606502,41606871,41607251,41607474,41610041,41610554,41611226,41613793,41622342,41622641,41623552,"	"41606111,41606604,41607044,41607320,41607549,41610307,41610716,41611353,41613847,41622390,41622735,41623800,"	NP_001248367	uc010wij.3
ETV4	chr17	17	-	0	41605210	41623305	41605886	41622678	12	"41605210,41606502,41606871,41607251,41607474,41610041,41610554,41611226,41613793,41622342,41622641,41623228,"	"41606111,41606604,41607044,41607320,41607549,41610307,41610716,41611353,41613847,41622390,41622735,41623305,"	NP_001248367	uc010wii.2
ETV4	chr17	17	-	0	41605210	41607803	41605886	41607529	5	"41605210,41606502,41606871,41607251,41607474,"	"41606111,41606604,41607044,41607320,41607803,"	NP_001248368	uc002idv.4
